NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD276	n/a	46	1.697788119316101	0.013401063	No	
row_1	SHROOM2	n/a	48	1.684261679649353	0.029137552	No	
row_2	CERCAM	n/a	333	1.1700009107589722	0.024567675	No	
row_3	VAV2	n/a	526	1.0582035779953003	0.02398354	No	
row_4	KCNH2	n/a	575	1.0394647121429443	0.0311029	No	
row_5	VCAN	n/a	600	1.0231353044509888	0.039382357	No	
row_6	PPP2R2C	n/a	664	0.994346559047699	0.045257952	No	
row_7	CRB3	n/a	779	0.9601070880889893	0.04802198	No	
row_8	SHC1	n/a	802	0.953842282295227	0.055761196	No	
row_9	CDH11	n/a	848	0.9390431046485901	0.06210318	No	
row_10	SRC	n/a	1068	0.8900305032730103	0.058464948	No	
row_11	THY1	n/a	1281	0.8436814546585083	0.054775175	No	
row_12	ACTB	n/a	1311	0.8381444811820984	0.061046623	No	
row_13	ATP1A3	n/a	1372	0.826065719127655	0.06550861	No	
row_14	DMP1	n/a	1395	0.8230305314064026	0.07202137	No	
row_15	RHOF	n/a	1410	0.8208902478218079	0.07895179	No	
row_16	PFN1	n/a	1606	0.7882872819900513	0.07567284	No	
row_17	MMP9	n/a	1631	0.7840597033500671	0.081710786	No	
row_18	JUP	n/a	1768	0.762188732624054	0.08141542	No	
row_19	MAPK13	n/a	1869	0.750464916229248	0.08297993	No	
row_20	PTK2	n/a	2048	0.7279692888259888	0.08006564	No	
row_21	NRTN	n/a	2049	0.727908730506897	0.08689032	No	
row_22	KRT31	n/a	2056	0.7268456816673279	0.09337674	No	
row_23	CDH15	n/a	2135	0.7162085771560669	0.09582384	No	
row_24	TUBG1	n/a	2179	0.7100831270217896	0.10012858	No	
row_25	WASL	n/a	2194	0.7082811594009399	0.10600321	No	
row_26	CLDN7	n/a	2272	0.6983469128608704	0.10833756	No	
row_27	ACTG1	n/a	2527	0.6698572039604187	0.10071996	No	
row_28	MDK	n/a	2615	0.6607745289802551	0.10215487	No	
row_29	CDSN	n/a	2625	0.6598773002624512	0.10784926	No	
row_30	B4GALT1	n/a	2680	0.6526462435722351	0.11101361	No	
